Date_reported;cases per 100000;dealth per 100000;;Netherlands
27-2-2020;0;0;0,040137615;5,56
28-2-2020;0,005733945;0;0,04587156;5,56
29-2-2020;0;0;0,051605505;5,56
1-3-2020;0,005733945;0;0,063073394;5,56
2-3-2020;0,017201835;0;0,05733945;5,56
3-3-2020;0,028669725;0;0,068807339;5,56
4-3-2020;0,02293578;0;0,086009174;5,56
5-3-2020;0,05733945;0;0,086009174;5,56
6-3-2020;0,097477064;0;0,108944954;11,11
7-3-2020;0,229357798;0,005733945;0,120412844;11,11
8-3-2020;0,286697248;0;0,154816514;11,11
9-3-2020;0,183486239;0,005733945;0,183486239;11,11
10-3-2020;0,349770642;0,005733945;0,223623853;20,83
11-3-2020;0,745412844;0;0,275229358;20,83
12-3-2020;0,705275229;0,005733945;0,389908257;45,37
13-3-2020;0,728211009;0;0,452981651;53,7
14-3-2020;0,64793578;0,017201835;0,550458716;53,7
15-3-2020;1,255733945;0,017201835;0,688073394;53,7
16-3-2020;0,991972477;0,040137615;0,860091743;61,11
17-3-2020;1,548165138;0,02293578;1,026376147;61,11
18-3-2020;1,651376147;0,103211009;1,30733945;61,11
19-3-2020;1,989678899;0,091743119;1,645642202;61,11
20-3-2020;2,270642202;0,120412844;2,075688073;61,11
21-3-2020;3,056192661;0,166284404;2,46559633;61,11
22-3-2020;3,652522936;0,177752294;2,752293578;61,11
23-3-2020;3,469036697;0,246559633;3,285550459;78,7
24-3-2020;3,17087156;0,183486239;3,744266055;78,7
25-3-2020;4,294724771;0,355504587;4,311926606;78,7
26-3-2020;4,833715596;0,458715596;4,805045872;78,7
27-3-2020;5,774082569;0,430045872;5,315366972;78,7
28-3-2020;6,691513761;0,653669725;5,688073394;78,7
29-3-2020;6,571100917;0,510321101;5,951834862;78,7
30-3-2020;6,26146789;0,716743119;6,456422018;78,7
31-3-2020;5,005733945;0,516055046;6,82912844;78,7
1-4-2020;4,782110092;0,986238532;6,926605505;78,7
2-4-2020;5,779816514;0,768348624;7,161697248;78,7
3-4-2020;6,209862385;0,940366972;7,316513761;78,7
4-4-2020;5,848623853;0,814220183;7,798165138;78,7
5-4-2020;5,745412844;1,014908257;7,941513761;78,7
6-4-2020;6,301605505;0,60206422;8,07912844;78,7
7-4-2020;5,418577982;0,57912844;8,165137615;78,7
8-4-2020;4,483944954;1,330275229;8,073394495;78,7
9-4-2020;5,498853211;0,848623853;8,125;78,7
10-4-2020;6,926605505;0,831422018;7,935779817;78,7
11-4-2020;7,608944954;0,653669725;7,975917431;78,7
12-4-2020;7,459862385;0,768348624;7,786697248;78,7
13-4-2020;6,714449541;0,538990826;7,672018349;78,7
14-4-2020;5,498853211;0,487385321;7,471330275;78,7
15-4-2020;4,94266055;0,699541284;7,333715596;78,7
16-4-2020;4,185779817;1,060779817;7,213302752;78,7
17-4-2020;6,129587156;1,060779817;7,081422018;78,7
18-4-2020;7,075688073;0,825688073;6,88646789;78,7
19-4-2020;6,800458716;0,825688073;6,743119266;78,7
20-4-2020;5,865825688;0,458715596;6,639908257;78,7
21-4-2020;4,288990826;0,372706422;6,232798165;78,7
22-4-2020;4,105504587;0,928899083;6,020642202;78,7
23-4-2020;4,059633028;0,808486239;5,779816514;78,7
24-4-2020;5,01146789;0,739678899;5,521788991;78,7
25-4-2020;4,615825688;0,63646789;5,498853211;78,7
26-4-2020;3,709862385;0,688073394;5,355504587;78,7
27-4-2020;3,732798165;0,372706422;5,189220183;78,7
28-4-2020;2,322247706;0,246559633;4,936926606;78,7
29-4-2020;1,106651376;0,332568807;4,610091743;78,7
30-4-2020;2,224770642;0,779816514;4,489678899;78,7
1-5-2020;2,907110092;0,470183486;4,214449541;78,7
2-5-2020;2,740825688;0,573394495;4,059633028;78,7
3-5-2020;2,505733945;0,533256881;3,944954128;78,7
4-5-2020;1,938073394;0,395642202;3,916284404;78,7
5-5-2020;1,152522936;0,154816514;3,69266055;78,7
6-5-2020;1,82912844;0,470183486;3,600917431;78,7
7-5-2020;1,82912844;0,229357798;3,348623853;78,7
8-5-2020;2,069954128;0,481651376;3,233944954;78,7
9-5-2020;1,82912844;0,412844037;3,10206422;78,7
