Date_reported;Country;Cases per 100000;Deaths per 100000;ICU per 100000;stringency
1-4-2020;Austria;7,524952338;0,235505215;2,411124818;81,48
2-4-2020;Austria;6,179208254;0,201861613;2,455982954;81,48
3-4-2020;Austria;6,156779186;0,123359874;2,747560839;81,48
4-4-2020;Austria;4,911965908;0,224290681;2,747560839;81,48
5-4-2020;Austria;4,620388023;0,201861613;2,736346305;81,48
6-4-2020;Austria;2,837277111;0,224290681;2,803633509;81,48
7-4-2020;Austria;2,052259729;0,246719749;2,725131771;81,48
8-4-2020;Austria;3,431647415;0,347650555;2,994280588;81,48
9-4-2020;Austria;3,241000336;0,325221487;2,983066054;81,48
10-4-2020;Austria;3,25221487;0,190647079;2,926993383;81,48
11-4-2020;Austria;3,095211394;0,246719749;2,747560839;81,48
12-4-2020;Austria;4,003588651;0,257934283;2,725131771;81,48
13-4-2020;Austria;2,276550409;0,190647079;2,680273635;81,48
14-4-2020;Austria;1,244813278;0,134574408;2,725131771;77,78
15-4-2020;Austria;0,975664461;0,235505215;2,601771896;77,78
16-4-2020;Austria;1,682180105;0,145788942;2,669059101;77,78
17-4-2020;Austria;1,435460357;0,168218011;2,545699226;77,78
18-4-2020;Austria;1,244813278;0,246719749;2,33262308;77,78
19-4-2020;Austria;1,121453404;0,145788942;2,287764943;77,78
20-4-2020;Austria;0,672872042;0,190647079;2,175619603;77,78
21-4-2020;Austria;0,5270831;0,179432545;2,198048671;77,78
22-4-2020;Austria;0,762588314;0,100930806;1,97375799;77,78
23-4-2020;Austria;0,785017383;0,201861613;1,895256252;75
24-4-2020;Austria;0,818660985;0,134574408;1,74946731;75
25-4-2020;Austria;0,672872042;0,067287204;1,659751037;75
26-4-2020;Austria;0,885948189;0,078501738;1,626107435;75
27-4-2020;Austria;0,69530111;0,157003477;1,570034765;75
28-4-2020;Austria;0,392508691;0,100930806;1,525176629;75
29-4-2020;Austria;0,785017383;0,044858136;1,469103959;75
30-4-2020;Austria;0,549512168;0,145788942;1,435460357;75
1-5-2020;Austria;0,684086576;0,067287204;1,39060222;67,59
2-5-2020;Austria;0,605584838;0,067287204;1,27845688;64,81
3-5-2020;Austria;0,414937759;0,033643602;1,27845688;64,81
4-5-2020;Austria;0,314006953;0,022429068;1,244813278;64,81
5-5-2020;Austria;0,134574408;0,067287204;1,16631154;64,81
6-5-2020;Austria;0,336436021;0,033643602;1,087809802;64,81
7-5-2020;Austria;0,605584838;0,033643602;1,031737131;64,81
8-5-2020;Austria;0,515868566;0,044858136;0,908377257;64,81
9-5-2020;Austria;0,426152293;0,022429068;0,885948189;64,81
10-5-2020;Austria;0,560726702;0,05607267;0,807446451;64,81
11-5-2020;Austria;0,336436021;0,044858136;0,762588314;59,26
12-5-2020;Austria;0,168218011;0,022429068;0,661657508;59,26
13-5-2020;Austria;0,740159246;0,022429068;0,616799372;59,26
14-5-2020;Austria;0,426152293;0,011214534;0,605584838;59,26
15-5-2020;Austria;0,58315577;0,011214534;0,5270831;59,26
16-5-2020;Austria;0,605584838;0,033643602;0,560726702;59,26
17-5-2020;Austria;0,908377257;0;0,538297634;59,26
18-5-2020;Austria;0,168218011;0,011214534;0,504654032;59,26
19-5-2020;Austria;0,291577885;0,011214534;0,437366827;59,26
20-5-2020;Austria;0,650442974;0,033643602;0,414937759;59,26
21-5-2020;Austria;0,672872042;0,011214534;0,358865089;59,26
22-5-2020;Austria;0,336436021;0,033643602;0,347650555;59,26
23-5-2020;Austria;0,358865089;0,022429068;0,314006953;59,26
24-5-2020;Austria;0,314006953;0,033643602;0,325221487;59,26
25-5-2020;Austria;0,269148817;0,011214534;0,347650555;59,26
